"asp";"slope";"cur_pl";"cur_pr";"conver";"swi";"prec";"temp";"rad";"ndvi";"dgm";"coord_y";"coord_x";"pawc";"mR";"temp_min";"cloudy";"frost";"veg_p";"cont";"sc";"sc_m";"prec_jja";"drought";"ab_alb"
"91";0,426052;53,8116;-0,00618458;-0,024994;5,34738;0,988002;1744;6,7;1225;0,600887;646,11;283578;154258;123,786;6,79913;-19,4;113;120;212;20,1;93;21;567;3,5;"1"
"92";0,235302;35,9755;-0,0237786;-0,00512168;-0,65492;1,55273;1991;5,6;1246;0,670025;1078,71;283588;149463;107,935;6,43174;-18,4;115;139;169;16,9;133;31;742;3,4;"1"
"93";0,814347;35,0959;0,0255799;0,0113999;0,571056;1,48836;1809;5,6;999;0,587629;1023,54;283528;145593;118,754;5,19624;-19,4;115;126;186;18,8;113;27;678;3,5;"1"
"94";1,96722;31,4322;-0,0884662;-0,0308307;1,99356;1,23917;1900;5,6;1120;0,498871;976,27;283528;151873;98,1136;5,78199;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"95";1,87052;40,8356;-0,090206;0,00449983;-23,0318;1,56019;1900;5,7;1120;0,534247;967,71;283508;151908;105,088;6,02943;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"96";1,99547;28,6608;-0,0187995;-0,00385646;4,25446;1,25834;1900;5,6;1120;0,434698;975,65;283538;151868;45,5486;5,89132;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"97";1,92619;40,3174;-0,038272;0,0162378;-11,589;1,28744;1900;5,7;1120;0,642164;965,92;283553;151873;43,1914;6,126;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"98";0,324952;32,726;0,0518479;0,0140187;8,31866;1,17874;1991;5,4;1237;0,605517;1056,71;283503;149633;124,139;5,35036;-18,4;115;139;169;16,9;133;31;742;3,4;"1"
"99";0,0024128;28,8127;0,0366188;0,00263612;8,60598;1,05535;1991;5,6;1246;0,589235;1085,96;283563;149518;130,932;5,30073;-18,4;115;139;169;16,9;133;31;742;3,4;"1"
"100";1,38891;33,9302;-0,0457861;-0,00956199;-4,17966;1,38158;1905;5,3;1211;0,68231;1081,98;283548;149388;137,101;5,69378;-18,4;115;139;169;16,9;133;31;742;3,4;"1"
"101";1,82154;40,9024;0,110644;0,0220793;14,923;1,05637;1900;5,3;942;0,748184;1095,96;283453;151693;48,7328;5,65941;-19,7;116;132;176;18,4;130;31;710;3,4;"1"
"102";1,96017;19,7675;-0,0321616;-0,0102795;-4,94422;1,54313;1900;5,2;942;0,549915;1109,55;283428;151678;114,055;5,27786;-19,7;116;132;176;18,4;130;31;710;3,4;"1"
"103";1,99858;41,4791;0,0528385;0,00775448;4,93199;1,00368;1900;5,4;942;0,534752;1027,73;283468;151823;56,6305;5,89263;-19,7;112;128;186;18,7;121;28;670;3,4;"1"
"104";1,04424;27,4531;0,00558382;-0,00429075;4,18964;1,4723;1886;5,2;1181;0,511387;1122,07;283478;146243;134,427;5,53484;-19,3;115;124;192;19;109;25;661;3,5;"1"
"105";0,288278;31,4253;0,0488869;-0,00218483;6,13808;1,49272;1905;5,5;1226;0,623277;1061,66;283483;149243;127,599;6,16886;-19,4;111;124;195;19,2;112;26;647;3,5;"1"
"106";1,95679;39,6658;-0,0134974;-0,00194566;2,72289;1,35153;1905;5,6;1226;0,639935;1035,76;283423;149193;38,9388;6,11785;-19;127;133;177;17,8;128;30;714;3,4;"1"
"107";1,99273;32,4008;-0,0782775;-0,00534217;-11,7166;1,62577;1905;5,4;1041;0,66064;1075,21;283443;149083;42,476;6,15739;-19;127;133;177;17,8;128;30;714;3,4;"1"
"108";0,0807861;39,0348;-0,0311508;0,00822901;-1,9997;1,42977;1991;5,5;1237;0,522078;1018,82;283423;149643;126,095;5,61129;-19,4;111;124;195;19,2;112;26;647;3,5;"1"
"109";1,92653;20,6953;0,0127092;0,00880376;9,58401;1,31439;1900;5,3;942;0,561753;1071,7;283398;151858;53,4096;5,28579;-19,8;141;128;187;18,9;121;28;670;3,4;"1"
"110";0,00609618;32,414;-0,0170278;-0,0226719;6,31389;1,00038;1991;5,4;1191;0,622318;1022,58;283358;149678;131,237;5,84934;-19,4;111;124;195;19,2;112;26;647;3,5;"1"
"111";0,280946;44,9325;0,00240951;-0,00146348;2,65456;1,01818;1991;5,4;1191;0,561576;1037,14;283413;149668;116,594;5,52061;-19,4;111;124;195;19,2;112;26;647;3,5;"1"
"112";0,205142;26,828;0,0933999;0,0079528;9,11121;1,21573;1905;5,7;1226;0,653364;952,62;283383;149398;39,2018;6,42656;-19,4;111;124;195;19,2;112;26;647;3,5;"1"
"113";0,000641525;39,3296;0,0106901;-0,00198149;6,86521;1,10289;1991;5,5;1191;0,532468;1009,1;283308;149808;41,2636;6,42175;-19,2;113;130;183;18,3;125;29;694;3,4;"1"
"114";0,926859;33,513;0,0394569;0,017528;4,83951;1,03559;1991;5,5;1191;0,647383;1009,14;283328;149728;131,357;6,0536;-19,2;113;130;183;18,3;125;29;694;3,4;"1"
"115";0,0332576;37,6954;-0,181845;-0,0474495;-32,0066;1,8755;1991;5,6;1191;0,574512;985,74;283313;149778;38,1121;6,92071;-19,2;113;130;183;18,3;125;29;694;3,4;"1"
"116";0,00381452;39,2975;-0,00646343;-0,00934378;-0,303889;1,26456;1791;6;1170;0,62391;883,39;283223;149588;71,3741;6,56665;-19,4;108;124;195;19,2;112;26;647;3,5;"1"
"117";0,0138496;33,9665;0,0299521;0,00204156;2,86014;1,37702;1791;5,9;1210;0,604545;937,84;283133;149863;49,2154;6,2174;-19,2;110;130;183;18,3;125;29;694;3,4;"1"
"118";1,96372;15,0515;-0,264248;-0,0738354;8,36896;1,37935;1934;5,6;1083;0,184783;1038,98;283088;149183;105,586;5,2031;-19;115;133;177;17,8;128;30;714;3,4;"1"
"119";0,0104737;20,4205;-0,108261;-0,00629324;-16,322;1,66293;1694;6,5;1211;0,563025;674,73;283018;157248;163,89;3,9281;-20,3;115;124;203;20;111;25;605;3,5;"1"
"120";1;20,2953;-0,0627469;-0,0767419;-25,1583;2,19684;1694;6,4;1130;0,446097;663,74;282953;157278;123,609;5,67965;-20,3;115;124;203;20;111;25;605;3,5;"1"
"121";0,0811023;12,4329;0,0991578;0,029271;37,3488;1,20191;1694;6,4;1211;0,458272;683,01;283013;157273;153,936;3,29612;-20,3;115;124;203;20;111;25;605;3,5;"1"
"122";0,239194;10,9156;-0,0100506;0,0105169;-9,05723;2,20136;1564;7,7;1113;0,533742;575,94;282858;139528;116,655;5,99141;-16,9;110;108;224;19,7;68;17;591;3,6;"1"
